513,New York Athletic Club-1
514,Arcturus
515,Belgium-1
516,St. Louis Southwest Turnverein #1-2
517,Nauru
518,Jo
519,Lucky Star
520,Namoussa
521,Briar
522,Panhellenios Gymnastikos Syllogos-1
523,Netherlands-1
524,Gabbiano
525,Gran Gesto
526,Ceres II
527,Covunco III
528,Chicago Archers
529,Royal Club Nautique de Gand
530,Roddklubben af 1912-1
531,Roddklubben af 1912-2
532,Bucintoro Venezia-1
533,Bucintoro Venezia
534,Edelweiss II-1
535,Bamba
536,Rush IV
537,Boston Archers
538,Ali-Baba IV
539,Ali-Baba VI
540,Ali-Baba IX
541,Upton Park FC
542,"BLO Polo Club, Rugby"
543,Hurlingham-2
544,Leander Club-1
545,Indonesia-2
546,Western Rowing Club-3
547,Pigoule
548,South Vietnam
549,Snowten III
550,Hungaria
551,Libellule de Paris
552,Scram
553,United States Virgin Islands-2
554,United States Virgin Islands-1
555,Amstel Amsterdam
556,Scotland-3
557,Peri II
558,Liverpool Police Team-2
559,Vinha
560,Fantasio III
561,Pousse-Moi Pas VII
562,Norwegian Rowing Association
563,LaBandera
564,Gilliatt V
565,United States Golf Association-3
566,Trans-Mississippi Golf Association-2
567,China-2
568,China-1
569,Sarcelle-35
570,Sarcelle-3
571,Tango
572,Argentina-1
573,Brynhild-2
574,Espuma del Mar
575,Twins II
576,Pupilles de Neptune de Lille #2-1
577,Beaver
578,Monaco-2
579,Baccara
580,Cobweb-1
581,Ral-Club Barcelona
582,Vietnam
583,Elvis Va
584,Romolo
585,Aldebaran II
586,Aldebaran
587,Argus
588,Galatea II
589,Twins VIII
590,Antwerpia V
591,Lotta IV
592,Saga-2
593,Mari
594,Paula
595,Oranje
596,Willem-Six
597,DeRuyter
598,Acturus
599,Societ Nautique de la Marne
600,Mexico-2
601,Teresita
602,Barion/Bari-2
603,Eissero VI
604,New York Athletic Club-4
605,K Division Metropolitan Police Team-3
606,Israel-1
607,Hong Kong-1
608,Malaysia-1
609,Cambodia
610,Complex II
611,Allegro
612,Gam II
613,Ylliam VIII
614,Quand-Mme-33
615,Quand-Mme-2
616,United States-9
617,Berliner Ruderclub Sport-Borussia-1
618,Smyrna
619,Chinese Taipei-2
620,Calimucho
621,Bhutan
622,North Korea-1
623,Malaysia-2
624,Kingfisher
625,Yangon
626,Gustel V
627,Sonja II
628,Jill
629,Kiel
630,KNS
631,Galt Football Club
632,Tim-Tam III
633,Uragan
634,Kon-Tiki
635,Babe
636,Poland-2
637,Antares
638,Venilia
639,Hatuey
640,Mauritius-1
641,Cincinnati Archers
642,Morena
643,Libellule de Paris-3
644,Societ Nautique de la Marne-3
645,"Osborne Swimming Club, Manchester"
646,Brussels Swimming and Water Polo Club
647,Ancora
648,Saskia
649,Wales-4
650,SagaII
651,Gem
652,June Climene
653,Cambria
654,Oleander XII
655,Phoenix
656,Ylliam VII
657,Ballerina IV
658,Chicago Athletic Association
659,Calypse II
660,Scotland
661,Scotland-2
662,Ciocca
663,Esperia
664,Tournade-40
665,Tornade-16
666,Galejan
667,Great Britain-4
668,Cuba-1
669,Marshall Islands
670,United States-6
671,Santa Maria
672,Dormy-1
673,Umberta V
674,Rozenn-3
675,Jest
676,Magdalen College Boat Club-1
677,Western Golf Association-1
678,Scotia
679,Red Dragon
680,"R.-V. Germania, Leitmeritz"
681,Hungary-1
682,Akatonbo
683,Terrible
684,Elisabeth V
685,Studenternes Roklub-2
686,Rififi
687,New York Athletic Club #1-1
688,Partenope
689,Bermudes
690,England
691,Cornwall
692,Kiribati
693,United States-7
694,Diablo
695,Plume-patte-32
696,Plume-Patte-5
697,Pierre et Jean-3
698,Pierre et Jean-4
699,Espadarte
700,Fruits
701,Belgium-2
702,Sidi Fekkar-36
703,Sidi-Fekkar-14
704,Souvenance
705,Meteor
706,Kurush IV
707,Vesania
708,Kurush II
709,Canopus
710,Crabe I-11
711,Crabe I-3
712,Crabe I-2
713,Gwendoline-22
714,Gwendoline-2
715,United States/France
716,Vicking
717,Daisy
718,Virginie
719,Acipactli
720,Belgium-4
721,Pegaso
722,Girl Pat
723,Fada
724,Bu III
725,Lerina
726,"Bagatelle Polo Club, Paris"
727,Bem II
728,St. Margrite
729,Hollandia
730,Aphrodite
731,Bonzo
732,Socit Nautique de la Basse Seine-1
733,Socit Nautique de la Basse Seine-2
734,Univ. of Brussels
735,"Concordia Turnverein, St Louis"
736,Rowing Club Castillon-3
737,Frip IV
738,Mad Dog
739,Hb-24
740,Hb-20
741,"South St Louis Turnverein, St Louis"
742,Century Boat Club-1
743,Unique
744,Pan-Hellenic Athletic Club
745,"Phalainis ton Thorichtou ""Hydra""-2"
746,Viking
747,Silja
748,Bermudian
749,Dresden
750,United States/Great Britain
751,Mignon-29
752,Mignon-3
753,Favorite-17
754,Favorite-1
755,St. Louis Amateur Athletic Association
756,Naiad
757,Pakaria
758,Ireland-3
759,Serbia-2
760,United States-14
761,Oxalis
762,Gitana-21
763,Gitana-2
764,Joy
765,Thalatta
766,Trintel II
767,"Central Turnverein, Chicago"
768,Galopin-20
769,Galopin-9
770,France-4
771,Berliner Ruderclub
772,Rhythm
773,"Turnverein Vorwrts, Chicago"
774,Guanahani
775,Unknown
776,Spirit III
777,Pannonia RC/National RC
778,Bella
779,May-Be 1960
780,May Be
781,Inga-Lill XXXXIII
782,Mexico-1
783,Nirwana
784,Omilos Ereton Peiraios-2
785,Llanoria
786,Marmi II-1
787,Kitty-1
788,Vaxholm Roddklubb
789,Tuvalu
790,A North American Team
791,Nirefs
792,Proteus II
793,Finn II
794,Impala
795,Missouri Athletic Club-3
796,Pam
797,Oleander II
798,Apache
799,Roklubb Kbnhavn-2
800,Tu-Fri
801,Tutti V
802,Cha-Cha III
803,Augsburg
804,Leander Club #2-2
805,Ariel
806,Encore
807,Feo
808,Seawanhaka Boat Club-1
809,Gem II
810,Gem III
811,Gem IV
812,Gem VII
813,Pupilles de Neptune de Lille #1-3
814,Chaje II
815,Ludwigshafener Ruder Verein-1
816,Leander Club #1-1
817,Dylan-2
818,Moorina
819,30. Februar
820,Cercle Nautique de Reims-4
821,Cuba-2
822,Struten
823,Gyrinus-1
824,Ylliam II
825,East Germany-3
826,Paka V
827,Brigantia
828,Sydney Rowing Club
829,Espardate
830,Australia/Great Britain
831,Kannibaltje
832,Milwaukee Athletic Club-1
833,Xantippa
834,Skum
835,Miss Denmark 1964
836,Kemphaan
837,Helsingfors R. K.
838,Newfoundland
839,Emily
840,Fram III
841,Mizar
842,Ubu
843,St. Louis Southwest Turnverein #2-3
844,"Socialer Turnverein, Detroit"
845,Bohemia-1
846,Essen
847,Miss Nippon V
848,Argeste
849,Gullvinge
850,United States-4
851,South Korea-1
852,Bajazzo
853,Cinara-13
854,Ilderim
855,Tantalus
856,Peiraikos Syndesmos-2
857,Baby-9
858,Baby-1
859,Femur-18
860,Femur-1
861,Kosovo
862,Colette-10
863,Colette-12
864,Germany/United States
865,"Germania Ruder Club, Hamburg"
866,Freddy
867,Rika II
868,Korshun
869,Hungary-2
870,Patricia
871,Tlaloc
872,Springbok
873,Aretusa
874,Quicksilver-2
875,Viktoriya
876,"Germania Ruder Club, Hamburg-2"
877,Omilos Ereton Smyrnis
878,Belarus-2
879,Alcaid
880,Finland-1
881,Finland-2
882,Alain IV
883,Jupiter
884,Three Leaves
885,"Philadelphia Turngemeinde, Philadelphia"
886,K.S.S.S. 1912-2
887,Unified Team-3
888,Paka
889,Sheerio
890,Pan II
891,Pasodoble
892,Freja
893,India-2
894,Sass-2
895,Roy
896,Ukraine-1
897,Deutscher Schwimm Verband Berlin
898,Jet
899,Belgium-3
900,Shrew II
901,Sylvia
902,Salamander
903,Denmark-3
904,Ingegerd
905,Slovakia-2
906,Johan
