team_id,team_name
754,"Belgium-2"
755,"Sidi Fekkar-36"
756,"Sidi-Fekkar-14"
757,"Souvenance"
758,"Meteor"
759,"Kurush IV"
760,"Vesania"
761,"Kurush II"
762,"Canopus"
763,"Crabe I-11"
764,"Crabe I-3"
765,"Crabe I-2"
766,"Gwendoline-22"
767,"Gwendoline-2"
768,"United States/France"
769,"Vicking"
770,"Daisy"
771,"Virginie"
772,"Acipactli"
773,"Belgium-4"
774,"Pegaso"
775,"Girl Pat"
776,"Fada"
777,"Bu III"
778,"Lerina"
779,"Bagatelle Polo Club
780,"Hollandia"
781,"Aphrodite"
782,178
783,"Bonzo"
784,"Socit Nautique de la Basse Seine-1"
785,"Socit Nautique de la Basse Seine-2"
786,"Univ. of Brussels"
787,"Rowing Club Castillon-3"
788,53
789,"Frip IV"
790,"Mad Dog"
791,"Hb-24"
792,"Hb-20"
793,"South St Louis Turnverein
794,"Century Boat Club-1"
795,"Unique"
796,"Pan-Hellenic Athletic Club"
797,"Phalainis ton Thorichtou ""Hydra""-2"
798,"Silja"
799,"Bermudian"
800,"Dresden"
801,"United States/Great Britain"
802,"Mignon-29"
803,"Mignon-3"
804,"Favorite-17"
805,"Favorite-1"
806,"St. Louis Amateur Athletic Association"
807,"Naiad"
808,"Pakaria"
809,"Ireland-3"
810,"Serbia-2"
811,"United States-14"
812,"Oxalis"
813,146
814,"Gitana-21"
815,"Gitana-2"
816,"Joy"
817,"Thalatta"
818,"Trintel II"
819,"Central Turnverein
820,"Galopin-20"
821,"Galopin-9"
822,"France-4"
823,"Berliner Ruderclub"
824,"Guanahani"
825,"Unknown"
826,"Pannonia RC/National RC"
827,"Bella"
828,"May-Be 1960"
829,"May Be"
830,"Inga-Lill XXXXIII"
831,"Mexico-1"
832,"Nirwana"
833,"Omilos Ereton Peiraios-2"
834,"Llanoria"
835,"Marmi II-1"
836,"Kitty-1"
837,"Vaxholm Roddklubb"
838,"Tuvalu"
839,"A North American Team"
840,"Nirefs"
841,"Proteus II"
842,"Finn II"
843,"Impala"
844,"Missouri Athletic Club-3"
845,"Pam"
846,"Oleander II"
847,167
848,"Roklubb Kbnhavn-2"
849,"Concordia Turnverein
850,"Tu-Fri"
851,"Tutti V"
852,"Cha-Cha III"
853,"Augsburg"
854,"Leander Club #2-2"
855,"Ariel"
856,"Encore"
857,"Feo"
858,"Seawanhaka Boat Club-1"
859,"Gem II"
860,"Gem III"
861,"Gem IV"
862,"Gem VII"
863,"Pupilles de Neptune de Lille #1-3"
864,"Chaje II"
865,"Ludwigshafener Ruder Verein-1"
866,"Leander Club #1-1"
867,"Dylan-2"
868,"Moorina"
869,"30. Februar"
870,"Evita VI"
871,"Cercle Nautique de Reims-4"
872,"Cuba-2"
873,"Struten"
874,"Gyrinus-1"
